date,sunrise,sunset
"Wed, Sep 1",7:04:26 am,8:21:03 pm
"Thu, Sep 2",7:05:43 am,8:19:06 pm
"Fri, Sep 3",7:07:01 am,8:17:09 pm
"Sat, Sep 4",7:08:18 am,8:15:12 pm
"Sun, Sep 5",7:09:35 am,8:13:14 pm
"Mon, Sep 6",7:10:53 am,8:11:16 pm
"Tue, Sep 7",7:12:10 am,8:09:17 pm
"Wed, Sep 8",7:13:27 am,8:07:18 pm
"Thu, Sep 9",7:14:45 am,8:05:19 pm
"Fri, Sep 10",7:16:02 am,8:03:19 pm
"Sat, Sep 11",7:17:20 am,8:01:19 pm
"Sun, Sep 12",7:18:37 am,7:59:19 pm
"Mon, Sep 13",7:19:55 am,7:57:19 pm
"Tue, Sep 14",7:21:12 am,7:55:19 pm
"Wed, Sep 15",7:22:30 am,7:53:18 pm
"Thu, Sep 16",7:23:47 am,7:51:17 pm
"Fri, Sep 17",7:25:05 am,7:49:17 pm
"Sat, Sep 18",7:26:23 am,7:47:16 pm
"Sun, Sep 19",7:27:41 am,7:45:15 pm
"Mon, Sep 20",7:28:59 am,7:43:15 pm
"Tue, Sep 21",7:30:18 am,7:41:14 pm
"Wed, Sep 22",7:31:36 am,7:39:13 pm
"Thu, Sep 23",7:32:55 am,7:37:13 pm
"Fri, Sep 24",7:34:13 am,7:35:13 pm
"Sat, Sep 25",7:35:32 am,7:33:13 pm
"Sun, Sep 26",7:36:51 am,7:31:13 pm
"Mon, Sep 27",7:38:11 am,7:29:13 pm
"Tue, Sep 28",7:39:30 am,7:27:14 pm
"Wed, Sep 29",7:40:50 am,7:25:14 pm
"Thu, Sep 30",7:42:10 am,7:23:16 pm
"Fri, Oct 1",7:43:30 am,7:21:17 pm
"Sat, Oct 2",7:44:51 am,7:19:19 pm
"Sun, Oct 3",7:46:11 am,7:17:22 pm
"Mon, Oct 4",7:47:32 am,7:15:24 pm
"Tue, Oct 5",7:48:53 am,7:13:28 pm
"Wed, Oct 6",7:50:15 am,7:11:32 pm
"Thu, Oct 7",7:51:37 am,7:09:36 pm
"Fri, Oct 8",7:52:59 am,7:07:41 pm
"Sat, Oct 9",7:54:21 am,7:05:47 pm
"Sun, Oct 10",7:55:44 am,7:03:53 pm
"Mon, Oct 11",7:57:06 am,7:02:00 pm
"Tue, Oct 12",7:58:30 am,7:00:08 pm
"Wed, Oct 13",7:59:53 am,6:58:16 pm
"Thu, Oct 14",8:01:17 am,6:56:25 pm
"Fri, Oct 15",8:02:41 am,6:54:35 pm
"Sat, Oct 16",8:04:06 am,6:52:46 pm
"Sun, Oct 17",8:05:30 am,6:50:58 pm
"Mon, Oct 18",8:06:55 am,6:49:11 pm
